trade_number,open_timestamp,close_timestamp,direction,entry_price,exit_price,pnl,grade,quality_score,trend_score,liquidity_score,fvg_score,order_block_score,regime_score,efficiency_score,volatility_score,stop_quality_score,entry_reason
1,2022-12-27 16:31:00,2022-12-27 16:38:00,SELL,13578.0,13572.5,198.0,B,76,10,25,15,15,5,0,1,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
2,2022-12-28 06:16:00,2022-12-28 06:17:00,SELL,13588.0,13581.5,195.0,C,62,10,25,0,15,2,0,5,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
3,2022-12-28 13:31:00,2022-12-28 13:32:00,BUY,13497.75,13494.75,-102.0,C,67,10,5,15,15,10,4,5,3,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
4,2022-12-28 20:39:00,2022-12-28 20:40:00,BUY,13447.5,13444.0,-98.0,C,67,10,5,15,15,10,2,5,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
5,2022-12-29 03:03:00,2022-12-29 03:06:00,SELL,13468.25,13474.0,-92.0,C,66,10,25,4,15,2,0,5,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
6,2022-12-29 16:08:00,2022-12-29 16:40:00,BUY,13688.75,13684.75,-96.0,C,69,10,5,15,15,10,4,5,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
7,2023-01-02 18:07:00,2023-01-02 18:08:00,BUY,13749.75,13760.25,189.0,C,64,10,0,15,15,10,4,5,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
8,2023-01-02 23:29:00,2023-01-02 23:50:00,BUY,13685.0,13681.0,-96.0,A,80,10,25,15,15,5,2,3,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
9,2023-01-03 05:27:00,2023-01-03 05:35:00,BUY,13781.25,13790.25,198.0,C,69,10,5,15,15,10,4,5,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
10,2023-01-03 07:15:00,2023-01-03 07:16:00,SELL,13732.75,13727.25,198.0,B,75,10,25,15,15,2,0,5,3,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
11,2023-01-03 12:43:00,2023-01-03 12:46:00,BUY,13534.5,13526.75,-93.0,C,66,10,25,4,15,2,0,5,5,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
12,2023-01-03 15:22:00,2023-01-03 15:27:00,BUY,13587.5,13597.0,190.0,B,75,10,25,15,15,2,0,5,3,FVG + ORDER_BLOCK + LIQUIDITY_CONFLUENCE
